Nom de la culture,Nom de la pathologie,Description,Symptômes,Recommandations détaillées,Régions de culture en France
Pommier,Tavelure du pommier (Apple___Apple_scab),Maladie fongique causée par Venturia inaequalis affectant feuilles et fruits.,"Taches olive à brun foncé sur feuilles, déformation des fruits, chute prématurée.","Élimination des feuilles mortes, taille pour aérer, traitements fongicides préventifs (bouillie bordelaise), variétés résistantes.","Nouvelle-Aquitaine, Occitanie, Auvergne-Rhône-Alpes, Pays de la Loire"
Pommier,Pourriture noire (Apple___Black_rot),Maladie fongique causée par Botryosphaeria obtusa touchant fruits et rameaux.,"Taches circulaires brunes sur fruits, chancres sur branches.","Suppression des fruits momifiés, taille sanitaire, traitements fongicides adaptés.","Nouvelle-Aquitaine, Occitanie, Auvergne-Rhône-Alpes"
Pommier,Rouille du cèdre (Apple___Cedar_apple_rust),Maladie fongique nécessitant un hôte intermédiaire (genévrier).,Taches jaunes sur feuilles évoluant en pustules orangées.,"Éloigner genévriers, surveillance printemps, traitements fongicides préventifs.","Grand Est, Bourgogne-Franche-Comté"
Pommier,Sain (Apple___healthy),Culture sans symptôme pathologique.,"Feuilles vertes uniformes, fruits sains.",Maintien d’une fertilisation équilibrée et surveillance régulière.,"Nouvelle-Aquitaine, Occitanie, Auvergne-Rhône-Alpes, Pays de la Loire"
Myrtille,Sain (Blueberry___healthy),Plantation sans maladie détectée.,"Croissance normale, feuillage vert homogène.","Sol acide adapté, irrigation maîtrisée, surveillance maladies racinaires.","Nouvelle-Aquitaine, Auvergne-Rhône-Alpes, Bretagne"
Cerisier,Sain (Cherry_(including_sour)___healthy),Arbre sans infection visible.,"Fruits fermes, feuillage sain.","Taille annuelle, contrôle humidité.","Provence-Alpes-Côte d’Azur, Occitanie, Auvergne-Rhône-Alpes"
Cerisier,Oïdium (Cherry_(including_sour)___Powdery_mildew),Maladie fongique superficielle touchant feuilles et jeunes pousses.,"Duvet blanc poudreux sur feuilles, déformation.","Traitements soufrés, taille d’aération, éviter excès d’azote.","Occitanie, Provence-Alpes-Côte d’Azur, Auvergne-Rhône-Alpes"
Maïs,Cercosporiose (Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot),Maladie fongique causant lésions foliaires.,Longues lésions grisâtres rectangulaires.,"Rotation des cultures, variétés tolérantes, traitement fongicide si nécessaire.","Grand Est, Nouvelle-Aquitaine, Occitanie"
Maïs,Rouille commune (Corn_(maize)___Common_rust),Maladie fongique produisant pustules orangées.,Petites pustules brunes/orangées sur feuilles.,"Choix variétés résistantes, surveillance humidité.","Grand Est, Nouvelle-Aquitaine"
Maïs,Helminthosporiose (Corn_(maize)___Northern_Leaf_Blight),Maladie fongique causant grandes lésions elliptiques.,Taches gris-vert allongées sur feuilles.,"Rotation culturale, destruction résidus.","Grand Est, Bourgogne-Franche-Comté"
Maïs,Sain (Corn_(maize)___healthy),Culture sans symptôme.,Feuilles vertes homogènes.,Fertilisation équilibrée.,"Grand Est, Nouvelle-Aquitaine, Occitanie"
Vigne,Black rot (Grape___Black_rot),Maladie fongique attaquant feuilles et grappes.,"Taches brunes, dessèchement grappes.","Traitements préventifs, taille, aération.","Nouvelle-Aquitaine, Occitanie, Bourgogne-Franche-Comté"
Vigne,Esca (Black Measles) (Grape___Esca_(Black_Measles)),Maladie du bois complexe affectant longévité du cep.,"Feuilles tigrées, dépérissement.","Taille adaptée, suppression ceps atteints.","Nouvelle-Aquitaine, Occitanie, Provence-Alpes-Côte d’Azur"
Vigne,Brûlure foliaire (Leaf blight) (Grape___Leaf_blight_(Isariopsis_Leaf_Spot)),Infection fongique provoquant nécrose des feuilles.,"Bords brunis, dessèchement.","Surveillance humidité, traitements préventifs.","Nouvelle-Aquitaine, Occitanie"
Vigne,Sain (Grape___healthy),Cep sans symptôme.,Croissance normale.,Suivi phytosanitaire régulier.,"Nouvelle-Aquitaine, Occitanie, Bourgogne-Franche-Comté"
Oranger,Huanglongbing (Citrus greening) (Orange___Haunglongbing_(Citrus_greening)),Maladie bactérienne grave transmise par psylles.,"Jaunissement asymétrique, fruits amers et déformés.","Arrachage arbres contaminés, lutte contre insectes vecteurs.","Corse, Provence-Alpes-Côte d’Azur"
Pêcher,Tache bactérienne (Peach___Bacterial_spot),Maladie bactérienne causant lésions sur feuilles et fruits.,"Taches angulaires brunes, perforations.","Traitements cupriques, taille sanitaire.","Occitanie, Provence-Alpes-Côte d’Azur, Auvergne-Rhône-Alpes"
Pêcher,Sain (Peach___healthy),Arbre sans infection.,Feuillage vert uniforme.,Surveillance humidité et ravageurs.,"Occitanie, Provence-Alpes-Côte d’Azur"
Poivron,"Tache bactérienne (Pepper,_bell___Bacterial_spot)",Infection bactérienne provoquant lésions foliaires.,Petites taches sombres cerclées.,"Rotation cultures, désinfection outils.","Provence-Alpes-Côte d’Azur, Occitanie"
Poivron,"Sain (Pepper,_bell___healthy)",Plante sans symptôme.,Feuillage vert intense.,Bonne ventilation serre.,"Provence-Alpes-Côte d’Azur, Occitanie"
Pomme de terre,Alternariose (Early blight) (Potato___Early_blight),Maladie fongique causant taches concentriques.,Taches brunes en anneaux.,"Rotation cultures, traitements fongicides.","Bretagne, Hauts-de-France, Normandie"
Pomme de terre,Mildiou (Late blight) (Potato___Late_blight),Maladie fongique destructrice causée par Phytophthora infestans.,"Taches brun-noir humides, pourriture tubercules.","Surveillance météo, traitements préventifs, destruction résidus.","Bretagne, Hauts-de-France"
Pomme de terre,Sain (Potato___healthy),Culture sans symptôme.,Feuilles vertes homogènes.,Gestion irrigation.,"Bretagne, Hauts-de-France"
Framboisier,Sain (Raspberry___healthy),Plantation sans maladie.,"Feuillage vert, fruits fermes.",Bonne aération rangs.,"Auvergne-Rhône-Alpes, Nouvelle-Aquitaine"
Soja,Sain (Soybean___healthy),Culture sans pathologie visible.,Croissance homogène.,Rotation et surveillance maladies racinaires.,"Nouvelle-Aquitaine, Occitanie, Grand Est"
Courge,Oïdium (Squash___Powdery_mildew),Champignon superficiel fréquent en été.,Poudre blanche sur feuilles.,"Traitements soufrés, espacement plants.","Occitanie, Provence-Alpes-Côte d’Azur"
Fraisier,Brûlure foliaire (Leaf scorch) (Strawberry___Leaf_scorch),Maladie fongique causant dessèchement feuilles.,"Bords brun-rouge, dessèchement.","Suppression feuilles atteintes, traitement adapté.","Nouvelle-Aquitaine, Bretagne"
Fraisier,Sain (Strawberry___healthy),Plant sain sans symptôme.,Feuillage vert vif.,Irrigation contrôlée.,"Nouvelle-Aquitaine, Bretagne"
Tomate,Tache bactérienne (Tomato___Bacterial_spot),Pathologie affectant la culture de tomate : Tache bactérienne.,Taches sombres sur feuilles et fruits.,"Rotation, désinfection, traitement cuivre.","Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Alternariose (Early blight) (Tomato___Early_blight),Pathologie affectant la culture de tomate : Alternariose (Early blight).,Taches concentriques brunes.,"Rotation, fongicides préventifs.","Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Mildiou (Late blight) (Tomato___Late_blight),Pathologie affectant la culture de tomate : Mildiou (Late blight).,Taches brun-noir et pourriture.,"Surveillance humidité, traitement rapide.","Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Cladosporiose (Leaf mold) (Tomato___Leaf_Mold),Pathologie affectant la culture de tomate : Cladosporiose (Leaf mold).,Taches jaunes puis feutrage vert sous feuille.,"Aération serre, traitement fongicide.","Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Septoriose (Tomato___Septoria_leaf_spot),Pathologie affectant la culture de tomate : Septoriose.,Petites taches circulaires avec centre gris.,Suppression feuilles atteintes.,"Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Acariens (Two-spotted spider mite) (Tomato___Spider_mites Two-spotted_spider_mite),Pathologie affectant la culture de tomate : Acariens (Two-spotted spider mite).,"Décoloration ponctuée, toiles fines.","Lutte biologique, acaricides.","Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Tache cible (Target spot) (Tomato___Target_Spot),Pathologie affectant la culture de tomate : Tache cible (Target spot).,Taches concentriques multiples.,Rotation et traitements adaptés.,"Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Virus mosaïque (Tomato___Tomato_mosaic_virus),Pathologie affectant la culture de tomate : Virus mosaïque.,Mosaïque vert clair/foncé.,Arrachage plants infectés.,"Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Virus enroulement jaune (Tomato___Tomato_Yellow_Leaf_Curl_Virus),Pathologie affectant la culture de tomate : Virus enroulement jaune.,Jaunissement et enroulement feuilles.,Lutte contre aleurodes.,"Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
Tomate,Sain (Tomato___healthy),Pathologie affectant la culture de tomate : Sain.,Feuillage vert homogène.,Bonne fertilisation.,"Provence-Alpes-Côte d’Azur, Occitanie, Nouvelle-Aquitaine"
